USER_ID;SEX;AGE;GROUP_NO
361433664;M;0;128276299
361433664;M;0;63012929
361433664;M;0;23688663
361433664;M;0;112478325
361433664;M;0;113372168
361433664;M;0;60234538
361433664;M;0;23065273
361433664;M;0;25554967
361433664;M;0;56502224
361433664;M;0;128801501
361433664;M;0;71239327
361433664;M;0;129464006
361433664;M;0;97346823
361433664;M;0;39822792
361433664;M;0;47696395
361433664;M;0;45441631
361433664;M;0;141722127
361433664;M;0;91050183
361433664;M;0;100575547
361433664;M;0;138687839
361433664;M;0;103132528
361433664;M;0;72605916
361433664;M;0;138134374
361433664;M;0;142304498
361433664;M;0;23064236
361433664;M;0;123995095
361433664;M;0;134643853
361433664;M;0;44786979
361433664;M;0;83555757
361433664;M;0;32194500
361433664;M;0;34157205
361433664;M;0;135209264
361433664;M;0;74985519
361433664;M;0;71726029
361433664;M;0;57846937
361433664;M;0;12382740
361433664;M;0;29196806
361433664;M;0;27895931
361433664;M;0;133668394
361433664;M;0;45595714
361433664;M;0;45886306
361433664;M;0;77810837
361433664;M;0;56779020
361433664;M;0;127451518
361433664;M;0;111359826
361433664;M;0;57558965
361433664;M;0;50939110
361433664;M;0;84800211
361433664;M;0;135729658
361433664;M;0;135226622
361433664;M;0;1946517
361433664;M;0;91262884
361433664;M;0;111905999
361433664;M;0;48990018
361433664;M;0;74381299
361433664;M;0;55526638
361433664;M;0;7877382
361433664;M;0;26750264
361433664;M;0;18099999
361433664;M;0;107667996
361433664;M;0;72811830
361433664;M;0;77411456
361433664;M;0;66722342
361433664;M;0;130934561
361433664;M;0;34220506
361433664;M;0;74635096
361433664;M;0;63807377
361433664;M;0;24417215
361433664;M;0;74205835
361433664;M;0;112975767
361433664;M;0;40724070
361433664;M;0;49078753
361433664;M;0;56603217
3953630;F;0;76256545
3953630;F;0;50314692
3953630;F;0;39207500
3953630;F;0;23351349
3953630;F;0;57749755
3953630;F;0;57206577
3953630;F;0;99923339
3953630;F;0;56106344
3953630;F;0;75310999
3953630;F;0;139376070
3953630;F;0;81137209
3953630;F;0;28890647
3953630;F;0;97173519
3953630;F;0;67436432
3953630;F;0;113014831
3953630;F;0;23776838
3953630;F;0;44226526
3953630;F;0;46401191
3953630;F;0;137610273
3953630;F;0;141001914
3953630;F;0;16824047
3953630;F;0;71239507
3953630;F;0;61113235
